Time,Pressure_setpoint,Measured_pressure,Marker1_x,Marker1_y,Marker1_z,Marker2_x,Marker2_y,Marker2_z,Marker3_x,Marker3_y,Marker3_z,Marker4_x,Marker4_y,Marker4_z,Marker5_x,Marker5_y,Marker5_z,Marker6_x,Marker6_y,Marker6_z,Marker7_x,Marker7_y,Marker7_z,Marker8_x,Marker8_y,Marker8_z,Marker9_x,Marker9_y,Marker9_z,Marker10_x,Marker10_y,Marker10_z,Marker11_x,Marker11_y,Marker11_z,Marker12_x,Marker12_y,Marker12_z,Marker13_x,Marker13_y,Marker13_z,Marker14_x,Marker14_y,Marker14_z,Marker15_x,Marker15_y,Marker15_z,Marker16_x,Marker16_y,Marker16_z,Marker17_x,Marker17_y,Marker17_z,Marker18_x,Marker18_y,Marker18_z,Marker19_x,Marker19_y,Marker19_z,Marker20_x,Marker20_y,Marker20_z,Marker21_x,Marker21_y,Marker21_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,Spine3_x,Spine3_y,Spine3_z,Spine4_x,Spine4_y,Spine4_z,Spine5_x,Spine5_y,Spine5_z,Spine6_x,Spine6_y,Spine6_z,Spine7_x,Spine7_y,Spine7_z,Spine2D1_x,Spine2D1_y,Spine2D2_x,Spine2D2_y,Spine2D3_x,Spine2D3_y,Spine2D4_x,Spine2D4_y,Spine2D5_x,Spine2D5_y,Spine2D6_x,Spine2D6_y,Spine2D7_x,Spine2D7_y
0,0,5.4,334.858176239486,521.409146299064,187.986582957762,334.339764772921,520.823876737755,164.960642862281,335.092308698823,519.913904293516,145.734382833998,335.020462857188,519.407853143294,125.042597805047,333.708195374674,517.126915354556,103.076234746903,336.328149606825,516.022244230214,82.3470613169663,349.971666949755,489.971295774501,67.6836819119512,315.63292660653,483.690456360691,185.217860698744,316.216734869661,485.301407510172,164.118203398165,317.216244367015,486.608140961781,147.212081154193,319.020380303808,486.098812459764,125.381363100347,320.239767724541,486.664357190611,103.122850862053,321.206863420428,488.286076866023,85.9465510046543,322.774724377726,489.373901397757,67.090816581347,355.172805349165,485.767427241237,186.793260622273,353.830628473219,487.431698567144,165.912375141187,352.396933184067,487.771761289393,147.948180388379,352.006547999744,487.526180282441,127.162792880944,350.59271898442,488.961840136246,105.643389668919,350.13228780591,490.015305473454,85.7855925919958,337.019139473719,515.584750596025,63.6633942267844,335.221302731727,496.955676633664,186.66590142626,334.795709371934,497.852327605024,164.997073800544,334.901828749968,498.097935514897,146.964881458856,335.349130386913,497.677615295166,125.862251262113,334.846894027878,497.584370893804,103.947491759292,335.889100277721,498.107875523231,84.6930683045388,336.588510267067,498.309982589428,66.1459642400275,0,0,2.22044604925031e-16,-21.6911971671294,0.622199680198517,-39.7107342121021,2.12384605267773,-60.7625292950933,3.0455303616011,-82.6622120862225,3.76419067974686,-101.890226649807,4.64324669474511,-120.407568549128
0.01,0,4.2,335.52281337853,518.193637628383,188.207304299496,334.969768014305,518.305419259902,165.665462653751,335.654922565848,518.534803274275,146.953002931262,335.451575465879,519.477389796812,126.770159678664,333.581544211588,519.213883183394,104.797548393324,334.994035964201,520.330475932347,84.8486778218798,348.991485743343,495.923325257664,66.8585395700112,316.198189610105,480.575480848319,184.507850284589,316.66107782257,483.01555869014,163.319647210054,317.552561649764,485.289480269777,146.405718550054,319.099696978627,486.46643351436,124.536361036065,319.890910310124,489.021440566196,102.342523770166,320.54862952072,492.263381373053,85.3493547044823,321.728756094554,495.25315624719,66.6969753285009,355.688255477955,482.52012828993,186.028340857193,354.306623694491,485.026326164994,164.992528981315,352.71004768335,486.43651509209,146.915920525651,352.073035084119,487.794541727294,125.981590255339,350.299581043638,491.059256439188,104.610571326178,349.517778474231,494.375676588122,84.9206951891319,335.232161939216,522.128869447478,66.7727677480193,335.80308615553,493.763082255544,186.247831813759,335.312489843789,495.449101371679,164.659212948373,335.305843966321,496.753599545381,146.758214002322,335.541435842875,497.912788346155,125.762703656689,334.590678521784,499.764860062926,103.916881163223,335.020147986384,502.323177964507,85.0395759051647,335.317467925705,504.435116984111,66.7760942155105,0,0,-0.770592387564563,-21.6438741116055,-1.19145822525211,-39.5769966917393,-1.2557913522576,-60.5894573915914,-2.32077335510955,-82.5083112421121,-3.74059478561604,-101.455290574019,-4.80938469485274,-119.774791099185
0.02,0,4,335.52281337853,518.193637628383,188.207304299496,334.969768014305,518.305419259902,165.665462653751,335.654922565848,518.534803274275,146.953002931262,335.451575465879,519.477389796812,126.770159678664,333.581544211588,519.213883183394,104.797548393324,334.994035964201,520.330475932347,84.8486778218798,348.991485743343,495.923325257664,66.8585395700112,316.198189610105,480.575480848319,184.507850284589,316.66107782257,483.01555869014,163.319647210054,317.552561649764,485.289480269777,146.405718550054,319.099696978627,486.46643351436,124.536361036065,319.890910310124,489.021440566196,102.342523770166,320.54862952072,492.263381373053,85.3493547044823,321.728756094554,495.25315624719,66.6969753285009,355.688255477955,482.52012828993,186.028340857193,354.306623694491,485.026326164994,164.992528981315,352.71004768335,486.43651509209,146.915920525651,352.073035084119,487.794541727294,125.981590255339,350.299581043638,491.059256439188,104.610571326178,349.517778474231,494.375676588122,84.9206951891319,335.232161939216,522.128869447478,66.7727677480193,335.80308615553,493.763082255544,186.247831813759,335.312489843789,495.449101371679,164.659212948373,335.305843966321,496.753599545381,146.758214002322,335.541435842875,497.912788346155,125.762703656689,334.590678521784,499.764860062926,103.916881163223,335.020147986384,502.323177964507,85.0395759051647,335.317467925705,504.435116984111,66.7760942155105,0,0,-0.770592387564563,-21.6438741116055,-1.19145822525211,-39.5769966917393,-1.2557913522576,-60.5894573915914,-2.32077335510955,-82.5083112421121,-3.74059478561604,-101.455290574019,-4.80938469485274,-119.774791099185
0.03,0,3.3,335.52281337853,518.193637628383,188.207304299496,334.969768014305,518.305419259902,165.665462653751,335.654922565848,518.534803274275,146.953002931262,335.451575465879,519.477389796812,126.770159678664,333.581544211588,519.213883183394,104.797548393324,334.994035964201,520.330475932347,84.8486778218798,348.991485743343,495.923325257664,66.8585395700112,316.198189610105,480.575480848319,184.507850284589,316.66107782257,483.01555869014,163.319647210054,317.552561649764,485.289480269777,146.405718550054,319.099696978627,486.46643351436,124.536361036065,319.890910310124,489.021440566196,102.342523770166,320.54862952072,492.263381373053,85.3493547044823,321.728756094554,495.25315624719,66.6969753285009,355.688255477955,482.52012828993,186.028340857193,354.306623694491,485.026326164994,164.992528981315,352.71004768335,486.43651509209,146.915920525651,352.073035084119,487.794541727294,125.981590255339,350.299581043638,491.059256439188,104.610571326178,349.517778474231,494.375676588122,84.9206951891319,335.232161939216,522.128869447478,66.7727677480193,335.80308615553,493.763082255544,186.247831813759,335.312489843789,495.449101371679,164.659212948373,335.305843966321,496.753599545381,146.758214002322,335.541435842875,497.912788346155,125.762703656689,334.590678521784,499.764860062926,103.916881163223,335.020147986384,502.323177964507,85.0395759051647,335.317467925705,504.435116984111,66.7760942155105,0,0,-0.770592387564563,-21.6438741116055,-1.19145822525211,-39.5769966917393,-1.2557913522576,-60.5894573915914,-2.32077335510955,-82.5083112421121,-3.74059478561604,-101.455290574019,-4.80938469485274,-119.774791099185
0.04,0,3.2,334.872594893628,520.236873510359,187.945100828802,334.463067035416,519.675345886287,165.039662123656,335.254814811951,519.03410529855,145.957551758985,335.113917074008,518.791313896181,125.284835799203,333.775687381357,516.667271273431,103.316293600245,335.28253353489,516.132208256507,82.9588302034994,349.839911157217,490.005580907687,67.6042642239513,315.753610390822,482.508738547548,184.904137977873,316.314375430298,484.320460726843,163.829965601584,317.304270450821,485.826224400228,146.99086394643,319.109515655536,485.559286427979,125.252849557062,320.242902021067,486.325998274575,103.079263288607,321.168797140667,488.057289453239,85.9602712609351,322.650301672092,489.357513723698,67.1204018355302,355.311908817597,484.720876321627,186.513612871287,353.945797431016,486.495575851802,165.574820622027,352.523198107756,487.07654374882,147.669560741441,352.198951761725,487.175216193329,126.966357519528,350.646985138366,488.678929573974,105.563977077441,350.192897447252,490.056205357389,85.8284206280389,336.973032121134,515.540893303862,64.0047287589596,335.312704700682,495.822162793178,186.454283892654,334.907746632243,496.830460821644,164.814816115756,335.027427790176,497.312291149199,146.872658815619,335.474128163756,497.175272172496,125.834680958598,334.88852484693,497.224066373993,103.986511322098,335.548076040936,498.081901022378,84.9158406974911,336.487748316814,498.301329311749,66.243131606147,0,0,-0.100140104524787,-21.6657628765587,0.299156613825637,-39.6043532187526,1.52997786950338,-60.6027697324153,2.2873955829288,-82.4436281284087,2.55773930661557,-101.510856506083,3.50403090948045,-120.148346088565
0.05,0,3.5,334.872594893628,520.236873510359,187.945100828802,334.463067035416,519.675345886287,165.039662123656,335.254814811951,519.03410529855,145.957551758985,335.113917074008,518.791313896181,125.284835799203,333.775687381357,516.667271273431,103.316293600245,335.28253353489,516.132208256507,82.9588302034994,349.839911157217,490.005580907687,67.6042642239513,315.753610390822,482.508738547548,184.904137977873,316.314375430298,484.320460726843,163.829965601584,317.304270450821,485.826224400228,146.99086394643,319.109515655536,485.559286427979,125.252849557062,320.242902021067,486.325998274575,103.079263288607,321.168797140667,488.057289453239,85.9602712609351,322.650301672092,489.357513723698,67.1204018355302,355.311908817597,484.720876321627,186.513612871287,353.945797431016,486.495575851802,165.574820622027,352.523198107756,487.07654374882,147.669560741441,352.198951761725,487.175216193329,126.966357519528,350.646985138366,488.678929573974,105.563977077441,350.192897447252,490.056205357389,85.8284206280389,336.973032121134,515.540893303862,64.0047287589596,335.312704700682,495.822162793178,186.454283892654,334.907746632243,496.830460821644,164.814816115756,335.027427790176,497.312291149199,146.872658815619,335.474128163756,497.175272172496,125.834680958598,334.88852484693,497.224066373993,103.986511322098,335.548076040936,498.081901022378,84.9158406974911,336.487748316814,498.301329311749,66.243131606147,0,0,-0.100140104524787,-21.6657628765587,0.299156613825637,-39.6043532187526,1.52997786950338,-60.6027697324153,2.2873955829288,-82.4436281284087,2.55773930661557,-101.510856506083,3.50403090948045,-120.148346088565
0.0600000000000001,0,2.9,334.872594893628,520.236873510359,187.945100828802,334.463067035416,519.675345886287,165.039662123656,335.254814811951,519.03410529855,145.957551758985,335.113917074008,518.791313896181,125.284835799203,333.775687381357,516.667271273431,103.316293600245,335.28253353489,516.132208256507,82.9588302034994,349.839911157217,490.005580907687,67.6042642239513,315.753610390822,482.508738547548,184.904137977873,316.314375430298,484.320460726843,163.829965601584,317.304270450821,485.826224400228,146.99086394643,319.109515655536,485.559286427979,125.252849557062,320.242902021067,486.325998274575,103.079263288607,321.168797140667,488.057289453239,85.9602712609351,322.650301672092,489.357513723698,67.1204018355302,355.311908817597,484.720876321627,186.513612871287,353.945797431016,486.495575851802,165.574820622027,352.523198107756,487.07654374882,147.669560741441,352.198951761725,487.175216193329,126.966357519528,350.646985138366,488.678929573974,105.563977077441,350.192897447252,490.056205357389,85.8284206280389,336.973032121134,515.540893303862,64.0047287589596,335.312704700682,495.822162793178,186.454283892654,334.907746632243,496.830460821644,164.814816115756,335.027427790176,497.312291149199,146.872658815619,335.474128163756,497.175272172496,125.834680958598,334.88852484693,497.224066373993,103.986511322098,335.548076040936,498.081901022378,84.9158406974911,336.487748316814,498.301329311749,66.243131606147,0,0,-0.100140104524787,-21.6657628765587,0.299156613825637,-39.6043532187526,1.52997786950338,-60.6027697324153,2.2873955829288,-82.4436281284087,2.55773930661557,-101.510856506083,3.50403090948045,-120.148346088565
0.0700000000000001,0,2.9,335.354707557653,518.859211867576,188.109798921212,334.726885393728,518.7238215555,165.553996427956,335.277076820383,518.75691833399,146.740981871005,335.672767479379,519.38308682876,126.801686016611,333.344299954186,518.768850984477,104.542800605678,334.721001318959,519.750496264127,84.7399128041631,348.831394860838,494.585751643424,67.0588717086738,315.930255880001,481.28542007686,184.749366702316,316.270458089454,483.544281986342,163.602473050543,317.06577146575,485.64289283672,146.653750577321,318.620915831699,486.452053836088,124.7999712977,319.525612641819,488.617241413697,102.550732342604,320.296045176946,491.567452107166,85.5163518253597,321.644221868842,494.213476251118,66.783035529095,355.473055195408,483.193729880876,186.088430803699,353.908286339913,485.392051899203,165.095046545989,352.360650595536,486.800934078966,147.138406237691,351.66170443759,487.69599776924,126.22237972362,349.956188771099,490.515911403568,104.88197680152,349.342016687664,493.52769675195,85.2341871277776,335.358956600207,520.790127944633,66.3064207079888,335.586006211021,494.446120608437,186.315865475742,334.968543274365,495.886718480348,164.750505341496,334.901166293889,497.066915083225,146.844379562006,335.318462582889,497.843712811363,125.94134567931,334.275367122368,499.300667933914,103.991836583267,334.786354394523,501.615215041081,85.1634839191001,335.278191109962,503.196451946392,66.7161093152526,0,0,-0.580881309102267,-21.614119038701,-0.90375043017399,-39.5489716149807,-0.552060423677953,-60.449414759955,-1.26891884203771,-82.4585455454998,-2.43420004096806,-101.34496167334,-2.93010869430794,-119.822334780954
0.0800000000000001,0,2.6,335.354707557653,518.859211867576,188.109798921212,334.726885393728,518.7238215555,165.553996427956,335.277076820383,518.75691833399,146.740981871005,335.672767479379,519.38308682876,126.801686016611,333.344299954186,518.768850984477,104.542800605678,334.721001318959,519.750496264127,84.7399128041631,348.831394860838,494.585751643424,67.0588717086738,315.930255880001,481.28542007686,184.749366702316,316.270458089454,483.544281986342,163.602473050543,317.06577146575,485.64289283672,146.653750577321,318.620915831699,486.452053836088,124.7999712977,319.525612641819,488.617241413697,102.550732342604,320.296045176946,491.567452107166,85.5163518253597,321.644221868842,494.213476251118,66.783035529095,355.473055195408,483.193729880876,186.088430803699,353.908286339913,485.392051899203,165.095046545989,352.360650595536,486.800934078966,147.138406237691,351.66170443759,487.69599776924,126.22237972362,349.956188771099,490.515911403568,104.88197680152,349.342016687664,493.52769675195,85.2341871277776,335.358956600207,520.790127944633,66.3064207079888,335.586006211021,494.446120608437,186.315865475742,334.968543274365,495.886718480348,164.750505341496,334.901166293889,497.066915083225,146.844379562006,335.318462582889,497.843712811363,125.94134567931,334.275367122368,499.300667933914,103.991836583267,334.786354394523,501.615215041081,85.1634839191001,335.278191109962,503.196451946392,66.7161093152526,0,0,-0.580881309102267,-21.614119038701,-0.90375043017399,-39.5489716149807,-0.552060423677953,-60.449414759955,-1.26891884203771,-82.4585455454998,-2.43420004096806,-101.34496167334,-2.93010869430794,-119.822334780954
0.0900000000000001,0,2.3,335.354707557653,518.859211867576,188.109798921212,334.726885393728,518.7238215555,165.553996427956,335.277076820383,518.75691833399,146.740981871005,335.672767479379,519.38308682876,126.801686016611,333.344299954186,518.768850984477,104.542800605678,334.721001318959,519.750496264127,84.7399128041631,348.831394860838,494.585751643424,67.0588717086738,315.930255880001,481.28542007686,184.749366702316,316.270458089454,483.544281986342,163.602473050543,317.06577146575,485.64289283672,146.653750577321,318.620915831699,486.452053836088,124.7999712977,319.525612641819,488.617241413697,102.550732342604,320.296045176946,491.567452107166,85.5163518253597,321.644221868842,494.213476251118,66.783035529095,355.473055195408,483.193729880876,186.088430803699,353.908286339913,485.392051899203,165.095046545989,352.360650595536,486.800934078966,147.138406237691,351.66170443759,487.69599776924,126.22237972362,349.956188771099,490.515911403568,104.88197680152,349.342016687664,493.52769675195,85.2341871277776,335.358956600207,520.790127944633,66.3064207079888,335.586006211021,494.446120608437,186.315865475742,334.968543274365,495.886718480348,164.750505341496,334.901166293889,497.066915083225,146.844379562006,335.318462582889,497.843712811363,125.94134567931,334.275367122368,499.300667933914,103.991836583267,334.786354394523,501.615215041081,85.1634839191001,335.278191109962,503.196451946392,66.7161093152526,0,0,-0.580881309102267,-21.614119038701,-0.90375043017399,-39.5489716149807,-0.552060423677953,-60.449414759955,-1.26891884203771,-82.4585455454998,-2.43420004096806,-101.34496167334,-2.93010869430794,-119.822334780954
